datum,bundesland_id,bundesland_name,versorgungsstufe,anzahl_meldebereiche,faelle_covid_aktuell,intensivbetten_belegt,intensivbetten_frei
2023-04-10,00,Deutschland,nicht angegeben,15,4,160,19
2023-04-09,00,Deutschland,FACHKLINIK,68,15,651,107
2023-04-09,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,278,239,6317,863
2023-04-09,00,Deutschland,GRUND_UND_REGELVERSORGUNG,754,308,5606,1721
2023-04-09,00,Deutschland,SCHWERPUNKTVERSORGUNG,466,249,5737,1294
2023-04-09,00,Deutschland,nicht angegeben,15,6,153,26
2023-04-08,00,Deutschland,GRUND_UND_REGELVERSORGUNG,757,313,5643,1715
2023-04-08,00,Deutschland,SCHWERPUNKTVERSORGUNG,466,237,5761,1299
2023-04-08,00,Deutschland,nicht angegeben,15,6,153,27
2023-04-08,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,276,239,6402,813
2023-04-08,00,Deutschland,FACHKLINIK,69,15,677,98
2023-04-07,00,Deutschland,FACHKLINIK,70,14,696,101
2023-04-07,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,277,247,6518,721
2023-04-07,00,Deutschland,SCHWERPUNKTVERSORGUNG,465,245,5886,1138
2023-04-07,00,Deutschland,GRUND_UND_REGELVERSORGUNG,754,331,5775,1590
2023-04-07,00,Deutschland,nicht angegeben,15,6,157,23
2023-04-06,00,Deutschland,SCHWERPUNKTVERSORGUNG,468,247,5993,1087
2023-04-06,00,Deutschland,FACHKLINIK,72,18,724,103
2023-04-06,00,Deutschland,GRUND_UND_REGELVERSORGUNG,760,361,5926,1504
2023-04-06,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,277,252,6558,707
2023-04-06,00,Deutschland,nicht angegeben,15,6,163,19
2023-04-05,00,Deutschland,SCHWERPUNKTVERSORGUNG,468,259,5967,1112
2023-04-05,00,Deutschland,GRUND_UND_REGELVERSORGUNG,759,370,5951,1477
2023-04-05,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,276,271,6640,671
2023-04-05,00,Deutschland,FACHKLINIK,72,22,723,108
2023-04-05,00,Deutschland,nicht angegeben,15,8,167,17
2023-04-04,00,Deutschland,SCHWERPUNKTVERSORGUNG,470,276,6015,1100
2023-04-04,00,Deutschland,GRUND_UND_REGELVERSORGUNG,762,388,6008,1471
2023-04-04,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,282,272,6650,722
2023-04-04,00,Deutschland,nicht angegeben,15,7,167,17
2023-04-04,00,Deutschland,FACHKLINIK,72,24,724,104
2023-04-03,00,Deutschland,SCHWERPUNKTVERSORGUNG,471,284,5909,1157
2023-04-03,00,Deutschland,FACHKLINIK,72,22,726,103
2023-04-03,00,Deutschland,GRUND_UND_REGELVERSORGUNG,763,398,5904,1523
2023-04-03,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,282,277,6549,840
2023-04-03,00,Deutschland,nicht angegeben,15,6,160,17
2023-04-02,00,Deutschland,SCHWERPUNKTVERSORGUNG,471,304,5903,1120
2023-04-02,00,Deutschland,GRUND_UND_REGELVERSORGUNG,762,407,5889,1490
2023-04-02,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,284,293,6579,854
2023-04-02,00,Deutschland,FACHKLINIK,72,22,709,95
2023-04-02,00,Deutschland,nicht angegeben,14,9,162,19
2023-04-01,00,Deutschland,GRUND_UND_REGELVERSORGUNG,764,417,5987,1454
2023-04-01,00,Deutschland,SCHWERPUNKTVERSORGUNG,469,310,6032,1050
2023-04-01,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,285,295,6711,818
2023-04-01,00,Deutschland,nicht angegeben,14,9,158,23
2023-04-01,00,Deutschland,FACHKLINIK,71,20,703,91
2023-03-31,00,Deutschland,GRUND_UND_REGELVERSORGUNG,766,408,6128,1378
2023-03-31,00,Deutschland,SCHWERPUNKTVERSORGUNG,469,306,6078,1049
2023-03-31,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,283,321,6864,731
2023-03-31,00,Deutschland,FACHKLINIK,72,21,714,100
2023-03-31,00,Deutschland,nicht angegeben,14,8,162,19
2023-03-30,00,Deutschland,SCHWERPUNKTVERSORGUNG,468,309,6224,974
2023-03-30,00,Deutschland,GRUND_UND_REGELVERSORGUNG,765,400,6119,1403
2023-03-30,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,284,324,6907,710
2023-03-30,00,Deutschland,FACHKLINIK,71,22,734,82
2023-03-30,00,Deutschland,nicht angegeben,14,7,163,18
2023-03-29,00,Deutschland,SCHWERPUNKTVERSORGUNG,470,314,6166,1023
2023-03-29,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,284,325,6907,695
2023-03-29,00,Deutschland,GRUND_UND_REGELVERSORGUNG,765,411,6100,1446
2023-03-29,00,Deutschland,FACHKLINIK,71,23,717,84
2023-03-29,00,Deutschland,nicht angegeben,14,6,164,17
2023-03-28,00,Deutschland,GRUND_UND_REGELVERSORGUNG,764,428,6017,1492
2023-03-28,00,Deutschland,SCHWERPUNKTVERSORGUNG,466,338,6104,1044
2023-03-28,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,284,325,6884,739
2023-03-28,00,Deutschland,FACHKLINIK,70,26,711,83
2023-03-28,00,Deutschland,nicht angegeben,14,5,165,16
2023-03-27,00,Deutschland,SCHWERPUNKTVERSORGUNG,468,335,5935,1185
2023-03-27,00,Deutschland,GRUND_UND_REGELVERSORGUNG,765,465,5915,1491
2023-03-27,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,285,331,6740,834
2023-03-27,00,Deutschland,FACHKLINIK,69,34,704,92
2023-03-27,00,Deutschland,nicht angegeben,14,8,167,14
2023-03-26,00,Deutschland,GRUND_UND_REGELVERSORGUNG,765,432,5806,1524
2023-03-26,00,Deutschland,SCHWERPUNKTVERSORGUNG,470,323,5931,1158
2023-03-26,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,286,350,6731,788
2023-03-26,00,Deutschland,FACHKLINIK,72,35,722,86
2023-03-26,00,Deutschland,nicht angegeben,14,7,163,15
2023-03-25,00,Deutschland,GRUND_UND_REGELVERSORGUNG,765,441,6006,1357
2023-03-25,00,Deutschland,SCHWERPUNKTVERSORGUNG,470,339,6066,1047
2023-03-25,00,Deutschland,FACHKLINIK,72,37,732,84
2023-03-25,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,284,352,6802,758
2023-03-25,00,Deutschland,nicht angegeben,14,7,165,13
2023-03-24,00,Deutschland,GRUND_UND_REGELVERSORGUNG,764,440,6105,1320
2023-03-24,00,Deutschland,SCHWERPUNKTVERSORGUNG,469,346,6108,1015
2023-03-24,00,Deutschland,FACHKLINIK,72,36,748,91
2023-03-24,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,284,364,6901,678
2023-03-24,00,Deutschland,nicht angegeben,14,4,165,14
2023-03-23,00,Deutschland,SCHWERPUNKTVERSORGUNG,471,363,6116,1027
2023-03-23,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,285,361,6931,671
2023-03-23,00,Deutschland,GRUND_UND_REGELVERSORGUNG,765,462,6216,1287
2023-03-23,00,Deutschland,FACHKLINIK,72,35,755,85
2023-03-23,00,Deutschland,nicht angegeben,14,3,168,11
2023-03-22,00,Deutschland,SCHWERPUNKTVERSORGUNG,470,382,6137,1018
2023-03-22,00,Deutschland,GRUND_UND_REGELVERSORGUNG,765,466,6197,1303
2023-03-22,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,285,351,6921,715
2023-03-22,00,Deutschland,FACHKLINIK,72,36,761,85
2023-03-22,00,Deutschland,nicht angegeben,14,4,168,13
2023-03-21,00,Deutschland,SCHWERPUNKTVERSORGUNG,471,401,6089,1041
2023-03-21,00,Deutschland,GRUND_UND_REGELVERSORGUNG,766,496,6150,1344
2023-03-21,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,285,345,6897,742
2023-03-21,00,Deutschland,FACHKLINIK,72,34,758,86
2023-03-21,00,Deutschland,nicht angegeben,14,5,164,16
2023-03-20,00,Deutschland,SCHWERPUNKTVERSORGUNG,472,377,6035,1131
2023-03-20,00,Deutschland,GRUND_UND_REGELVERSORGUNG,765,478,6041,1430
2023-03-20,00,Deutschland,FACHKLINIK,72,35,741,97
2023-03-20,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,285,326,6832,754
2023-03-20,00,Deutschland,nicht angegeben,14,5,166,11
2023-03-19,00,Deutschland,SCHWERPUNKTVERSORGUNG,473,372,5986,1105
2023-03-19,00,Deutschland,GRUND_UND_REGELVERSORGUNG,765,469,5929,1440
2023-03-19,00,Deutschland,FACHKLINIK,72,34,719,98
2023-03-19,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,286,330,6782,739
2023-03-19,00,Deutschland,nicht angegeben,14,5,170,7
2023-03-18,00,Deutschland,SCHWERPUNKTVERSORGUNG,473,377,6109,1039
2023-03-18,00,Deutschland,GRUND_UND_REGELVERSORGUNG,766,455,6039,1403
2023-03-18,00,Deutschland,nicht angegeben,14,5,168,9
2023-03-18,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,287,338,6850,726
2023-03-18,00,Deutschland,FACHKLINIK,72,36,730,88
2023-03-17,00,Deutschland,GRUND_UND_REGELVERSORGUNG,767,466,6200,1290
2023-03-17,00,Deutschland,SCHWERPUNKTVERSORGUNG,473,374,6203,987
2023-03-17,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,287,343,6900,691
2023-03-17,00,Deutschland,FACHKLINIK,72,36,749,91
2023-03-17,00,Deutschland,nicht angegeben,14,5,166,12
2023-03-16,00,Deutschland,GRUND_UND_REGELVERSORGUNG,767,492,6256,1282
2023-03-16,00,Deutschland,nicht angegeben,14,4,171,9
2023-03-16,00,Deutschland,SCHWERPUNKTVERSORGUNG,473,337,6193,1027
2023-03-16,00,Deutschland,FACHKLINIK,72,35,753,90
2023-03-16,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,287,351,6905,728
2023-03-15,00,Deutschland,GRUND_UND_REGELVERSORGUNG,766,465,6203,1323
2023-03-15,00,Deutschland,SCHWERPUNKTVERSORGUNG,473,334,6248,980
2023-03-15,00,Deutschland,FACHKLINIK,73,34,761,80
2023-03-15,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,287,357,6897,708
2023-03-15,00,Deutschland,nicht angegeben,14,6,162,17
2023-03-14,00,Deutschland,GRUND_UND_REGELVERSORGUNG,767,455,6203,1304
2023-03-14,00,Deutschland,SCHWERPUNKTVERSORGUNG,473,333,6184,1003
2023-03-14,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,286,361,6823,787
2023-03-14,00,Deutschland,FACHKLINIK,72,35,745,93
2023-03-14,00,Deutschland,nicht angegeben,14,6,164,13
2023-03-13,00,Deutschland,SCHWERPUNKTVERSORGUNG,472,326,6051,1088
2023-03-13,00,Deutschland,GRUND_UND_REGELVERSORGUNG,768,453,6077,1405
2023-03-13,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,285,344,6744,839
2023-03-13,00,Deutschland,FACHKLINIK,71,41,733,107
2023-03-13,00,Deutschland,nicht angegeben,14,6,168,9
2023-03-12,00,Deutschland,FACHKLINIK,72,41,721,102
2023-03-12,00,Deutschland,SCHWERPUNKTVERSORGUNG,471,315,6020,1102
2023-03-12,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,286,327,6758,826
2023-03-12,00,Deutschland,GRUND_UND_REGELVERSORGUNG,769,434,6036,1386
2023-03-12,00,Deutschland,nicht angegeben,15,6,171,15
2023-03-11,00,Deutschland,SCHWERPUNKTVERSORGUNG,469,315,6054,1048
2023-03-11,00,Deutschland,GRUND_UND_REGELVERSORGUNG,768,414,6095,1360
2023-03-11,00,Deutschland,FACHKLINIK,72,39,743,89
2023-03-11,00,Deutschland,nicht angegeben,15,3,172,14
2023-03-11,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,288,326,6911,745
2023-03-10,00,Deutschland,GRUND_UND_REGELVERSORGUNG,768,429,6220,1294
2023-03-10,00,Deutschland,SCHWERPUNKTVERSORGUNG,472,315,6166,977
2023-03-10,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,288,324,6950,748
2023-03-10,00,Deutschland,FACHKLINIK,73,40,760,84
2023-03-10,00,Deutschland,nicht angegeben,15,8,172,14
2023-03-09,00,Deutschland,SCHWERPUNKTVERSORGUNG,469,324,6202,977
2023-03-09,00,Deutschland,GRUND_UND_REGELVERSORGUNG,768,422,6178,1323
2023-03-09,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,288,329,6930,786
2023-03-09,00,Deutschland,FACHKLINIK,73,30,764,82
2023-03-09,00,Deutschland,nicht angegeben,15,11,173,13
2023-03-08,00,Deutschland,GRUND_UND_REGELVERSORGUNG,767,445,6224,1299
2023-03-08,00,Deutschland,SCHWERPUNKTVERSORGUNG,470,322,6185,1020
2023-03-08,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,288,309,6879,840
2023-03-08,00,Deutschland,FACHKLINIK,73,24,763,75
2023-03-08,00,Deutschland,nicht angegeben,15,11,171,15
2023-03-07,00,Deutschland,SCHWERPUNKTVERSORGUNG,471,330,6153,1080
2023-03-07,00,Deutschland,GRUND_UND_REGELVERSORGUNG,768,426,6129,1392
2023-03-07,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,288,292,6871,810
2023-03-07,00,Deutschland,FACHKLINIK,73,25,760,75
2023-03-07,00,Deutschland,nicht angegeben,15,12,175,11
2023-03-06,00,Deutschland,GRUND_UND_REGELVERSORGUNG,770,406,5997,1496
2023-03-06,00,Deutschland,SCHWERPUNKTVERSORGUNG,469,319,5965,1168
2023-03-06,00,Deutschland,FACHKLINIK,73,27,729,93
2023-03-06,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,290,287,6754,910
2023-03-06,00,Deutschland,nicht angegeben,15,7,172,12
2023-03-05,00,Deutschland,SCHWERPUNKTVERSORGUNG,474,309,5988,1115
2023-03-05,00,Deutschland,GRUND_UND_REGELVERSORGUNG,771,400,5917,1494
2023-03-05,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,290,286,6801,822
2023-03-05,00,Deutschland,FACHKLINIK,73,28,671,100
2023-03-05,00,Deutschland,nicht angegeben,15,6,164,20
2023-03-04,00,Deutschland,SCHWERPUNKTVERSORGUNG,471,285,6039,1098
2023-03-04,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,290,281,6852,815
2023-03-04,00,Deutschland,GRUND_UND_REGELVERSORGUNG,770,394,6030,1444
2023-03-04,00,Deutschland,nicht angegeben,15,6,168,16
2023-03-04,00,Deutschland,FACHKLINIK,73,29,695,80
2023-03-03,00,Deutschland,SCHWERPUNKTVERSORGUNG,471,286,6116,1070
2023-03-03,00,Deutschland,GRUND_UND_REGELVERSORGUNG,772,410,6177,1372
2023-03-03,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,289,275,6927,748
2023-03-03,00,Deutschland,FACHKLINIK,73,27,710,81
2023-03-03,00,Deutschland,nicht angegeben,15,4,171,16
2023-03-02,00,Deutschland,SCHWERPUNKTVERSORGUNG,472,297,6133,1057
2023-03-02,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,290,265,7038,786
2023-03-02,00,Deutschland,GRUND_UND_REGELVERSORGUNG,772,407,6199,1370
2023-03-02,00,Deutschland,nicht angegeben,15,3,173,14
2023-03-02,00,Deutschland,FACHKLINIK,73,27,710,80
2023-03-01,00,Deutschland,GRUND_UND_REGELVERSORGUNG,772,400,6129,1415
2023-03-01,00,Deutschland,SCHWERPUNKTVERSORGUNG,471,309,6116,1071
2023-03-01,00,Deutschland,UNIVERSITAETSKLINIKUM_MAXIMALVERSORGUNG,290,292,7090,770
2023-03-01,00,Deutschland,FACHKLINIK,74,30,743,86
2023-03-01,00,Deutschland,nicht angegeben,15,3,176,11
2023-02-28,00,Deutschland,SCHWERPUNKTVERSORGUNG,473,299,6162,1083
